I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE,LASTCHANGED
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ADPBA1,1.217,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ADPPV1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,AGLHAL,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,AGLSOM,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ANGAST1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,ARWF1,79.3,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,AVLSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BALB1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BALDHWF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BANGOWF1,26.69719,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BANGOWF2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BANN1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARCALDN,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARCSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARKIPS1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARRON-1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BARRON-2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BASTYAN,76.11001,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBATTERY1,-1.10276,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBTHREE1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBTHREE2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BBTHREE3,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BDL01,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BDL02,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BERYLSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BHB1,-0.1133,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLOWERNG,55.1,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLUEGSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLUFF1,0.2,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BLYTHB1,-0.56,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BNGSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BNGSF2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BOCORWF1,5.26,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BODWF1,86.55098,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BOLIVPS1,1e-05,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BOMENSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BOWWBA1,-0.042,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BOWWPV1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRAEMAR1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRAEMAR2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRAEMAR3,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRAEMAR5,0.18128,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRAEMAR6,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRAEMAR7,0.02014,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BROKENH1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRYB1WF1,2.47501,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BRYB2WF2,2.83513,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BULBES1,-0.11,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BULGANA1,139.92999,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BUTLERSG,9.499998,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BW01,653.12274,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BW02,376.55603,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BW03,678.83118,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BW04,680.14954,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,BWTR1,13.66124,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CALL_B_1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CALL_B_2,318.39999,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CAPBES1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CAPTL_WF,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CATHROCK,8.7,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CBWWBA1,-0.025,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CETHANA,79.32388,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CG1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CG2,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CG3,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CG4,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CHALLHWF,8.9,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CHBESS1,-0.65581,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CHILDSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CHYTWF1,48.22,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CLARESF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CLEMGPWF,16.64009,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CLERMSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CLOVER,13.05,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CLRKCWF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CLUNY,7.548181,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CNUNDAWF,0.6007,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,COHUNSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,COLEASF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,COLUMSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,COLWF01,35.04234,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CONDONG1,23.85,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,COOPGWF1,216.14,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CPP_3,399.85001,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CPP_4,395.45001,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CPSA,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CROOKWF2,4.40253,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CROOKWF3,4.47601,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CROWLWF1,29.30278,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CRURWF1,55.99763,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CRWASF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CSPVPS1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CTHLWF1,0.00305,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,CULLRGWF,10.4,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,DALNTH1,-0.03815,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,DARLSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,DARTM1,166.8,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,DAYDSF1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,DDPS1,0.0,2025/01/01 00:00:13
D,DISPATCH,UNIT_SCADA,1,2025/01/01 00:05:00,DDSF1,0.0,2025/01/01 00:00:13
